Label,PoN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NK resident,pos,FOSB,FOS,EGR1,NR4A3,NR4A2,NR4A1,PPP1R15A,CD83,ELL2,BTG2,AREG,DNAJB1,DUSP1,NFKBIA,REL,ICAM1,DNAJA1,JUNB,XCL1,GPR183,IER2,IFRD1,IRF8,NFKBID,ZFP36,GADD45B,NFKB1,HSPA1A,HSPA1B,MAFF,MYADM,UBB,ARL5B,NFKBIZ,PMAIP1,VPS37B,EIF1,TNFAIP3,RASGEF1B,HSP90AA1,JUN,CD69,HSPE1,XCL2,SERTAD1,HSP90AB1,HSPA8,PTGER4,BCL2A1,MARCH3,SRGN,HSPD1,RBKS,NOTO,RBBP8,EGR2,PTMA,IER5,IER3,ARL4A,RANBP2
NK resident,neg,HLA-DRB5,HLA-DRB1,AFAP1L2,HLA-DRA,HAVCR2,MYO7A,LAG3,CD74,CD63,TWIST1,HLA-DMA,TIGIT,KLRC2,GNLY,KRT86,GAPDH,LAMP3,SLC27A2,TNIP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NK exhausted,neg,FOSB,FOS,EGR1,NR4A3,NR4A2,NR4A1,PPP1R15A,CD83,ELL2,BTG2,AREG,DNAJB1,DUSP1,NFKBIA,REL,ICAM1,DNAJA1,JUNB,XCL1,GPR183,IER2,IFRD1,IRF8,NFKBID,ZFP36,GADD45B,NFKB1,HSPA1A,HSPA1B,MAFF,MYADM,UBB,ARL5B,NFKBIZ,PMAIP1,VPS37B,EIF1,TNFAIP3,RASGEF1B,HSP90AA1,JUN,CD69,HSPE1,XCL2,SERTAD1,HSP90AB1,HSPA8,PTGER4,BCL2A1,MARCH3,SRGN,HSPD1,RBKS,NOTO,RBBP8,EGR2,PTMA,IER5,IER3,ARL4A,RANBP2
NK exhausted,pos,HLA-DRB5,HLA-DRB1,AFAP1L2,HLA-DRA,HAVCR2,MYO7A,LAG3,CD74,CD63,TWIST1,HLA-DMA,TIGIT,KLRC2,GNLY,KRT86,GAPDH,LAMP3,SLC27A2,TNIP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
